state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
AR,county,invpp,lcut,4,749117,756645,75,192,64,4.49,6.83,1.56,3.22506075358505,3.22506075358505,16.46,2,8902,2,0
AR,county,avepp,lcut,4,749117,756645,75,192,64,4.47,6.60,1.53,0.3336694277826549,0.38897496912146967,3600.39,9,3419656,5,2
AR,county,schwartzb,lcut,4,749117,756645,75,192,64,4.48,6.63,1.54,1.7796013850505235,1.7796013850505235,294.83,2,193071,10,0
ID,county,invpp,lcut,2,914956,924150,44,102,41,0.01,0.22,0.20,3.5376872409058953,3.5376872409058953,0.24,2,167,7,0
ID,county,avepp,lcut,2,914956,924150,44,102,41,0.01,0.22,0.20,0.32105112075805664,0.32105112075805664,0.65,2,2728,15,0
ID,county,schwartzb,lcut,2,914956,924150,44,102,41,0.01,0.22,0.21,1.8595083595493866,1.8595083595493866,0.60,2,3681,19,0
IA,county,invpp,lcut,4,793605,801580,99,222,85,36.59,3.77,2.00,2.0569941085913364,2.0569941085913364,34.64,2,23290,2,0
IA,county,avepp,lcut,4,793605,801580,99,222,85,37.16,3.59,1.71,0.5041992664337158,0.6127752409477063,3600.42,9,2574060,4,0
IA,county,schwartzb,lcut,4,793605,801580,99,222,85,36.13,3.78,1.72,1.427961923011044,1.4279619230110439,1165.13,2,598183,10,0
KS,county,invpp,lcut,4,730798,738142,105,263,95,8.12,11.83,6.72,2.347111661323984,2.3471116613239835,354.40,2,283549,69,107
KS,county,avepp,lcut,4,730798,738142,105,263,95,8.15,11.80,6.62,0.4219989751439064,0.6679671008877066,3600.35,9,2168811,12,13
KS,county,schwartzb,lcut,4,730798,738142,105,263,95,8.01,11.94,6.54,1.5431633009289274,1.4185873900720185,3600.23,9,1564681,49,46
ME,county,invpp,lcut,2,677774,684585,16,34,13,0.01,0.03,0.03,3.094050204160066,3.094050204160066,0.09,2,23,2,0
ME,county,avepp,lcut,2,677774,684585,16,34,13,0.01,0.03,0.03,0.3320446014404297,0.3320446014404297,0.24,2,1583,4,0
ME,county,schwartzb,lcut,2,677774,684585,16,34,13,0.01,0.03,0.03,1.7530868222028069,1.7530868222028069,0.12,2,221,6,0
MS,county,invpp,lcut,4,736619,744021,82,202,69,28.93,3.39,2.35,3.36921356501137,3.36921356501137,34.32,2,27360,5,1
MS,county,avepp,lcut,4,736619,744021,82,202,69,28.59,3.41,2.25,0.38606691360473633,0.38606691360473633,2033.26,2,978222,50,11
MS,county,schwartzb,lcut,4,736619,744021,82,202,69,27.82,3.56,2.42,1.8216299686297168,1.8216299686297166,1913.51,2,881251,106,477
MT,county,invpp,lcut,2,539402,544823,56,138,52,0.02,0.36,0.49,2.7285018036017235,2.7285018036017235,0.28,2,89,2,0
MT,county,avepp,lcut,2,539402,544823,56,138,52,0.02,0.40,0.52,0.37157726287841797,0.37157726287841797,1.03,2,2524,13,1
MT,county,schwartzb,lcut,2,539402,544823,56,138,52,0.02,0.38,0.51,1.650977938331481,1.650977938331481,0.42,2,462,10,0
NE,county,invpp,lcut,3,650566,657103,93,231,87,0.46,2.42,0.59,2.24602030067492,2.24602030067492,2.05,2,2161,5,3
NE,county,avepp,lcut,3,650566,657103,93,231,87,0.43,2.38,0.59,0.4487396876017253,0.4487396876017252,132.02,2,225315,11,3
NE,county,schwartzb,lcut,3,650566,657103,93,231,87,0.44,2.37,0.59,1.4971781240143371,1.4971781240143371,21.07,2,21479,17,3
NM,county,invpp,lcut,3,702312,709369,33,78,28,0.04,0.15,0.55,2.359282893226307,2.359282893226307,0.17,2,38,2,0
NM,county,avepp,lcut,3,702312,709369,33,78,28,0.05,0.15,0.56,0.4257659912109375,0.4257659912109375,3.17,2,2006,4,0
NM,county,schwartzb,lcut,3,702312,709369,33,78,28,0.05,0.15,0.59,1.5351160098859458,1.5351160098859458,0.47,2,1972,10,0
WV,county,invpp,lcut,2,892374,901342,55,125,50,0.03,0.42,0.36,4.950221051217514,4.950221051217514,0.24,2,170,8,9
WV,county,avepp,lcut,2,892374,901342,55,125,50,0.03,0.43,0.37,0.23947477340698242,0.23947477340698242,1.32,2,4269,12,6
WV,county,schwartzb,lcut,2,892374,901342,55,125,50,0.03,0.40,0.39,2.216485552079935,2.216485552079935,1.99,2,7459,19,11
