state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
WV,county,aveppbe,lcut,2,892374,901342,55,125,50,0.05,0.94,0.236015797,3.18,0.236015797,0.236015797,1.81,2,2105,4,2
NM,county,aveppbe,lcut,3,702312,709369,33,78,28,0.11,0.67,0.413467725,28.94,0.41346973,0.41346973,4.49,2,6369,6,0
NE,county,aveppbe,lcut,3,650566,657103,93,231,87,0.77,4.77,0.412780444,16.69,0.412782542,0.453964489,600.04,9,113482,13,7
MT,county,aveppbe,lcut,2,539402,544823,56,138,52,0.04,0.86,0.337593079,4.1,0.339984894,0.339984894,2.32,2,1774,6,1
MS,county,aveppbe,lcut,4,736619,744021,82,202,69,176.29,5.53,0.333740849,273.16,0.33374143,0.48227609,600.04,9,28795,5,0
ME,county,aveppbe,lcut,2,677774,684585,16,34,13,0.01,0.06,0.3499919,0.47,0.3499919,0.3499919,0.27,2,432,5,0
KS,county,aveppbe,lcut,4,730798,738142,105,263,95,5.33,24.18,0.458030411,651.93,0.458026474,0.801525686,600.03,9,24502,10,2
IA,county,aveppbe,lcut,4,793605,801580,99,222,85,110.74,7.73,0.466300408,96.69,0.466296683,0.785395037,600.03,9,23033,7,0
ID,county,aveppbe,lcut,2,914956,924150,44,102,41,0.02,0.5,0.294130325,1.76,0.31265831,0.31265831,1.4,2,1620,20,0
AR,county,aveppbe,lcut,4,749117,756645,75,192,64,8.04,10.89,0.331805706,315.75,0.331806013,0.470206949,600.04,9,24308,9,0
AL,county,aveppbe,lcut,7,714166,721342,67,171,52,142.05,33.52,0.224761391,180.35,0.224761758,0.610148574,600.03,9,11072,7,0
