state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
MT,tract,aveppbe,lcut,2,539402,544823,319,840,311,2.04,0.03,0.42742257523981786,160.13,0.4274163246154785,0.4274163246154785,368.11,2,47587,246,275
ME,tract,aveppbe,lcut,2,677774,684585,407,1139,398,2.24,0.03,0.404482364654541,10.48,0.404482364654541,0.404482364654541,208.35,2,3353,4,1
NH,tract,aveppbe,lcut,2,685321,692208,350,939,338,5.24,0.01,0.37683568916991095,23.49,0.4172844886779785,0.4172844886779785,123.90,2,3193,12,0
WV,tract,aveppbe,lcut,2,892374,901342,546,1430,536,7.80,0.01,0.24203622263122146,15.61,0.2420358657836914,0.27705704977675016,600.02,9,9774,13,20
ID,tract,aveppbe,lcut,2,914956,924150,456,1196,450,2.08,0.01,0.33710241317749023,9.67,0.34675274998538014,0.3473447739950832,600.03,9,54611,115,106
NE,tract,aveppbe,lcut,3,650566,657103,553,1420,534,60.01,0.09,0.47888950812633796,227.85,0.47888247172037757,0.99999876816878,600.13,9,393,4,0
NM,tract,aveppbe,lcut,3,702312,709369,612,1631,597,60.09,0.10,0.49050618921756356,317.49,0.4905007680257162,0.9999989867208874,600.01,9,381,6,0
KS,tract,aveppbe,lcut,4,730798,738142,829,2168,754,60.03,0.26,0.4776074753773454,141.22,0.47760701340911493,0.9999987483005555,600.05,9,44,3,0
MS,tract,aveppbe,lcut,4,736619,744021,878,2378,824,60.04,0.20,0.3822682252719659,506.64,0.3822660446166992,0.9712696016765703,600.04,9,15,4,0
AR,tract,aveppbe,lcut,4,749117,756645,823,2240,752,60.02,0.19,0.3876914271914805,672.92,0.38768601417541504,0.9999986588922525,600.05,9,6,4,0
NV,tract,aveppbe,lcut,4,772273,780034,779,2022,723,60.04,0.21,0.5341570665144844,635.45,0.5341536998748779,0.9999983906667467,600.03,9,65,4,0
IA,tract,aveppbe,lcut,4,793605,801580,896,2348,833,60.02,0.18,0.48219280180038043,639.62,0.4821920394897461,0.9999983608635148,600.02,9,11,4,0
UT,tract,aveppbe,lcut,4,813815,821993,716,1950,678,60.04,0.20,0.5554726160561666,675.77,0.5554718971252441,0.9999985694837221,600.06,9,43,5,0
CT,tract,aveppbe,lcut,5,717583,724794,883,2458,778,60.01,0.28,0.5365463533070577,482.16,0.5365406036376953,0.9999983072185158,600.07,9,6,4,0
OK,tract,aveppbe,lcut,5,787912,795829,1205,3170,882,60.01,0.32,0.45543779391549855,903.51,0.4554311775229862,0.99999855756123,600.04,9,1,3,0
OR,tract,aveppbe,lcut,6,702679,709740,1001,2770,514,60.01,0.30,0.4734865687996851,482.55,0.4734781612619163,0.9999984701404966,600.04,9,1,3,0
KY,tract,aveppbe,lcut,6,747218,754727,1306,3579,685,60.01,0.41,0.387446403503418,483.57,0.38744624455769855,0.9999984999434444,600.02,9,1,4,0
AL,tract,aveppbe,lcut,7,714166,721342,1437,4014,782,60.03,0.56,0.45985712197079776,845.05,0.45985657828194754,0.9999990463256834,600.01,9,1,5,0
SC,tract,aveppbe,lcut,7,727548,734859,1323,3677,1187,60.01,0.69,0.41703251429966515,844.60,0.41703224182128906,0.9999990463256834,600.02,9,1,4,0
MN,tract,aveppbe,lcut,8,709746,716878,1505,4102,892,60.03,0.76,0.4828143030232226,544.92,0.48281229086138777,0.9999990463233256,600.01,9,1,3,0
CO,tract,aveppbe,lcut,8,718106,725322,1447,3909,996,60.03,0.71,0.5114628160063792,545.19,0.5114599466323853,0.9999981969422148,600.67,9,1,4,0
WI,tract,aveppbe,lcut,8,733032,740398,1542,4253,1078,60.01,0.95,0.5104884039335098,485.33,0.5104875566674828,0.9999990463256836,600.01,9,1,3,0
MO,tract,aveppbe,lcut,8,765518,773210,1654,4488,1031,60.01,1.25,0.45178921981554565,725.21,0.45178890228271484,0.9999990463256836,600.02,9,1,4,0
MD,tract,aveppbe,lcut,8,768293,776013,1475,3993,910,60.01,1.12,0.4248659610748291,785.47,0.4248654842376709,0.9999990463256836,600.01,9,1,3,0
IN,tract,aveppbe,lcut,9,750178,757717,1696,4627,1062,60.01,1.66,0.49602636419090723,666.75,0.4960254033406575,0.9999990463256838,600.02,9,1,3,0
TN,tract,aveppbe,lcut,9,764032,771710,1701,4691,984,60.01,1.06,0.4180093341403537,486.99,0.41800901624891496,0.9999990463256838,600.02,9,1,3,0
