state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,heur_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
WV,county,cut,lcut,2,892374,901342,55,125,50,0.05,1.06,12.0,12.0,0.31,2,131,10,9
WV,county,cut,scf,2,892374,901342,55,125,50,0.05,1.02,12.0,12.0,0.25,2,191,0,0
WV,county,cut,shir,2,892374,901342,55,125,50,0.07,1.01,12.0,12.0,0.09,2,1,0,0
WV,county,perim,lcut,2,892374,901342,55,125,50,0.05,1.03,28.223664114003178,28.223664114003178,0.30,2,228,14,11
WV,county,perim,scf,2,892374,901342,55,125,50,0.06,1.12,28.223664114003178,28.22366411400317,0.28,2,335,0,0
WV,county,perim,shir,2,892374,901342,55,125,50,0.05,1.07,28.223664114003178,28.223664114003178,0.16,2,85,0,0
WV,county,invpp,lcut,2,892374,901342,55,125,50,0.07,1.03,5.011144868898411,5.011144868898411,0.52,2,548,11,15
WV,county,invpp,scf,2,892374,901342,55,125,50,0.06,1.04,5.011144869001484,5.011144869001484,0.61,2,334,0,0
WV,county,invpp,shir,2,892374,901342,55,125,50,0.06,1.07,5.011144868958828,5.011144868958828,0.91,2,309,0,0
NM,county,cut,lcut,3,702312,709369,33,78,28,0.14,0.75,19.0,19.0,0.23,2,318,3,0
NM,county,cut,scf,3,702312,709369,33,78,28,0.12,0.74,19.0,19.0,0.22,2,118,0,0
NM,county,cut,shir,3,702312,709369,33,78,28,0.10,0.71,19.0,19.0,0.12,2,71,0,0
NM,county,perim,lcut,3,702312,709369,33,78,28,0.10,0.76,50.47437870743771,50.47437870743771,0.31,2,641,5,1
NM,county,perim,scf,3,702312,709369,33,78,28,0.11,0.74,50.474378707437715,50.47437870743771,0.17,2,1,0,0
NM,county,perim,shir,3,702312,709369,33,78,28,0.12,0.87,50.474378707437715,50.4743787074377,0.08,2,1,0,0
NM,county,invpp,lcut,3,702312,709369,33,78,28,0.11,0.76,2.4267766429736897,2.4267766429736897,0.33,2,131,4,1
NM,county,invpp,scf,3,702312,709369,33,78,28,0.12,0.72,2.426776643004631,2.426776643004631,0.34,2,71,0,0
NM,county,invpp,shir,3,702312,709369,33,78,28,0.13,0.90,2.426776643010319,2.426776643010319,0.47,2,71,0,0
NE,county,cut,lcut,3,650566,657103,93,231,87,0.96,5.73,17.0,17.0,1.89,2,565,6,3
NE,county,cut,scf,3,650566,657103,93,231,87,0.94,5.18,17.0,17.0,1.62,2,406,0,0
NE,county,cut,shir,3,650566,657103,93,231,87,0.87,5.04,17.0,17.0,1.51,2,157,0,0
NE,county,perim,lcut,3,650566,657103,93,231,87,0.90,5.24,35.152289991005944,35.152289991005944,7.37,2,3402,5,3
NE,county,perim,scf,3,650566,657103,93,231,87,0.86,5.00,35.152289991005944,35.152289991005944,1.18,2,391,0,0
NE,county,perim,shir,3,650566,657103,93,231,87,0.82,5.06,35.152289991005944,35.152289991005944,1.78,2,410,0,0
NE,county,invpp,lcut,3,650566,657103,93,231,87,0.92,4.97,2.4400133449577885,2.4400133449577885,13.34,2,3282,7,4
