state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
MT,tract,cut,lcut,2,539402,544823,319,840,311,2.27,0.03,0.58,19,19,2.78,2,171,4,0
MT,tract,perim,lcut,2,539402,544823,319,840,311,2.33,0.04,1.58,51.56735952,51.56735952,36.02,2,9745,350,456
MT,tract,invpp,lcut,2,539402,544823,319,840,311,2.1,0.02,2.02,2.58101561,2.58101561,45.51,2,19146,311,417
ME,tract,cut,lcut,2,677774,684585,407,1139,398,2.69,0.04,0.16,21,21,1.81,2,121,2,0
ME,tract,perim,lcut,2,677774,684585,407,1139,398,2.46,0.03,0.62,23.53711825,23.53711825,18.72,2,2043,14,10
ME,tract,invpp,lcut,2,677774,684585,407,1139,398,2.33,0.04,1.28,2.491385929,2.491385929,21.76,2,771,22,165
NH,tract,cut,lcut,2,685321,692208,350,939,338,5.72,0.01,0.37,28,28,10.47,2,820,24,322
NH,tract,perim,lcut,2,685321,692208,350,939,338,5.71,0.01,0.34,12.58258118,12.58258118,5.58,2,577,7,2
NH,tract,invpp,lcut,2,685321,692208,350,939,338,5.7,0.01,0.84,2.619023102,2.619023102,7.29,2,399,3,0
WV,tract,cut,lcut,2,892374,901342,546,1430,536,8.35,0.02,0.13,23,23,24.43,2,4125,11,9
WV,tract,perim,lcut,2,892374,901342,546,1430,536,8,0.02,0.46,27.34552502,27.34552502,21.61,2,2707,19,32
WV,tract,invpp,lcut,2,892374,901342,546,1430,536,7.9,0.01,0.89,4.663788027,4.663788027,64.35,2,4700,32,52
ID,tract,cut,lcut,2,914956,924150,456,1196,450,2.36,0.01,0.34,22,22,15.56,2,3377,48,76
ID,tract,perim,lcut,2,914956,924150,456,1196,450,2.33,0.01,0.47,42.15130335,42.15130335,247.32,2,68674,1097,1408
ID,tract,invpp,lcut,2,914956,924150,456,1196,450,2.37,0.01,0.77,3.05245525,3.05245525,389.19,2,97823,973,1049
NE,tract,cut,lcut,3,650566,657103,553,1420,534,60.01,0.09,1.19,43,43,337.85,2,3826,14,9
NE,tract,perim,lcut,3,650566,657103,553,1420,534,60.02,0.11,0.32,32.0631389,32.0631389,245.07,2,2657,35,77
NE,tract,invpp,lcut,3,650566,657103,553,1420,534,60.02,0.09,1.87,2.189313173,1.43456675,600.25,9,6136,19,60
NM,tract,cut,lcut,3,702312,709369,612,1631,596,60.03,0.1,0.75,46,37,600.03,9,6211,17,10
NM,tract,perim,lcut,3,702312,709369,612,1631,597,60.03,0.09,0.83,41.01811449,39.03367952,600.14,9,10953,166,269
NM,tract,invpp,lcut,3,702312,709369,612,1631,597,60.01,0.09,5.27,2.257404677,1.060315173,600.02,9,4085,14,47
KS,tract,cut,lcut,4,730798,738142,829,2168,755,60.06,0.25,2.45,no_solution_found,20,601.54,9,1320,66,3793
KS,tract,perim,lcut,4,730798,738142,829,2168,755,60.04,0.27,2.08,40.7318301,23.52509951,600.03,9,239,2,0
KS,tract,invpp,lcut,4,730798,738142,829,2168,755,60.04,0.25,4.91,2.141933908,0.478247877,600.01,9,11,2,0
MS,tract,cut,lcut,4,736619,744021,878,2378,824,60.04,0.23,2.27,77,28,600.03,9,570,2,0
MS,tract,perim,lcut,4,736619,744021,878,2378,824,60.06,0.21,2.82,no_solution_found,28.96197827,600.03,9,123,20,2622
MS,tract,invpp,lcut,4,736619,744021,878,2378,824,60.01,0.2,3.72,no_solution_found,1.2848773,600.02,9,43,6,542
AR,tract,cut,lcut,4,749117,756645,823,2240,752,60.05,0.19,0.52,83,19.5,600.02,9,975,2,0
