state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
WV,county,cut,lcut,2,892374,901342,55,125,50,0.05,1.17,12,0.39,12,12,0.13,2,45,6,4
WV,county,cut,scf,2,892374,901342,55,125,50,0.05,1.01,12,0.17,12,12,0.21,2,29,0,0
WV,county,cut,shir,2,892374,901342,55,125,50,0.06,1.03,12,0.21,12,12,0.2,2,1,0,0
WV,county,perim,lcut,2,892374,901342,55,125,50,0.06,1.02,28.22366411,0.81,28.22366411,28.22366411,0.36,2,189,7,6
WV,county,perim,scf,2,892374,901342,55,125,50,0.05,1,28.22366411,0.54,28.22366411,28.22366411,0.28,2,109,0,0
WV,county,perim,shir,2,892374,901342,55,125,50,0.05,0.96,28.22366411,0.72,28.22366411,28.22366411,0.34,2,72,0,0
WV,county,invpp,lcut,2,892374,901342,55,125,50,0.06,0.96,5.01114477,1.69,5.011144869,5.011144869,0.53,2,228,8,9
WV,county,invpp,scf,2,892374,901342,55,125,50,0.06,0.98,5.01114486,1.41,5.011144869,5.011144869,0.41,2,104,0,0
WV,county,invpp,shir,2,892374,901342,55,125,50,0.05,0.96,5.011144869,0.8,5.011144869,5.011144869,0.41,2,82,0,0
NM,county,cut,lcut,3,702312,709369,33,78,28,0.12,0.74,19,0.73,19,19,0.18,2,85,2,0
NM,county,cut,scf,3,702312,709369,33,78,28,0.13,0.74,19,0.65,19,19,0.16,2,1,0,0
NM,county,cut,shir,3,702312,709369,33,78,28,0.11,0.78,19,0.68,19,19,0.25,2,1,0,0
NM,county,perim,lcut,3,702312,709369,33,78,28,0.11,0.75,50.47437871,2.09,50.47437871,50.47437871,0.19,2,206,2,0
NM,county,perim,scf,3,702312,709369,33,78,28,0.11,0.71,50.47437871,0.83,50.47437871,50.47437871,0.19,2,1,0,0
NM,county,perim,shir,3,702312,709369,33,78,28,0.1,0.77,50.47437871,1.14,50.47437871,50.47437871,0.14,2,1,0,0
NM,county,invpp,lcut,3,702312,709369,33,78,28,0.11,0.82,2.426776643,3.58,2.426776643,2.426776643,0.24,2,41,2,0
