state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
MT,tract,cut,lcut,2,539402,544823,319,840,311,2.3,0.03,21,1.54,19,19,2.79,2,83,3,0
MT,tract,perim,lcut,2,539402,544823,319,840,311,2.4,0.03,51.56735952,12.49,51.56735952,51.56735952,31.16,2,7270,283,358
MT,tract,invpp,lcut,2,539402,544823,319,840,311,2.17,0.03,2.58101561,12.43,2.58101561,2.58101561,54.67,2,19228,260,367
ME,tract,cut,lcut,2,677774,684585,407,1139,398,2.29,0.04,21,0.47,21,21,2.98,2,94,2,0
ME,tract,perim,lcut,2,677774,684585,407,1139,398,2.67,0.04,23.53711825,4.71,23.53711825,23.53711825,19.66,2,2111,2,0
ME,tract,invpp,lcut,2,677774,684585,407,1139,398,2.51,0.03,2.491385871,6.48,2.491385929,2.491385929,9.71,2,286,2,0
NH,tract,cut,lcut,2,685321,692208,350,939,338,6.09,0.01,28,1.04,28,28,9.62,2,1258,2,0
NH,tract,perim,lcut,2,685321,692208,350,939,338,5.96,0.01,13.92439391,3.78,12.58258118,12.58258118,5.37,2,694,8,0
NH,tract,invpp,lcut,2,685321,692208,350,939,338,6.08,0.01,2.909934433,9.8,2.619023102,2.619023102,9.61,2,451,16,6
WV,tract,cut,lcut,2,892374,901342,546,1430,536,8.39,0.02,23,1.72,23,23,14.98,2,1875,11,9
WV,tract,perim,lcut,2,892374,901342,546,1430,536,7.87,0.01,27.34552502,1.36,27.34552502,27.34552502,12.07,2,1226,19,33
WV,tract,invpp,lcut,2,892374,901342,546,1430,536,8.17,0.01,4.663788027,2.18,4.663788027,4.663788027,39.57,2,3016,29,48
ID,tract,cut,lcut,2,914956,924150,456,1196,450,2.38,0.01,32,1.09,22,22,21.28,2,2796,44,66
ID,tract,perim,lcut,2,914956,924150,456,1196,450,2.48,0.01,42.15130335,1.34,42.15130335,42.15130335,273.38,2,69909,1093,1407
