state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
WV,county,avepp,lcut,2,892374,901342,55,125,50,0.05,1.08,0.236016577,482.24,0.236016411,0.6891831,600.01,9,2775140,2,0
WV,county,avepp,scf,2,892374,901342,55,125,50,0.05,0.96,0.236016569,675.69,0.236016411,0.969556654,600.02,9,1313874,0,0
WV,county,avepp,shir,2,892374,901342,55,125,50,0.06,1.08,0.236016548,364.29,0.236016411,0.949832707,600.05,9,322587,0,0
NM,county,avepp,lcut,3,702312,709369,33,78,28,0.12,0.74,0.347832827,412.67,0.413467849,0.761945758,600.01,9,2762184,5,1
NM,county,avepp,scf,3,702312,709369,33,78,28,0.12,0.76,0.413468006,722.09,0.413467849,0.481110269,600.01,9,3169940,0,0
NM,county,avepp,shir,3,702312,709369,33,78,28,0.11,0.73,0.413468007,691.01,0.413467849,0.676093132,600.02,9,1178434,0,0
NE,county,avepp,lcut,3,650566,657103,93,231,87,0.9,5.26,0.412780572,540.23,0.412780406,0.942580777,600.01,9,1053811,3,1
NE,county,avepp,scf,3,650566,657103,93,231,87,0.88,5.04,0.412780584,720.31,0.412780406,1,600.04,9,514844,0,0
NE,county,avepp,shir,3,650566,657103,93,231,87,0.82,4.89,0.412780562,496.55,0.412780406,1,600.03,9,140151,0,0
MT,county,avepp,lcut,2,539402,544823,56,138,52,0.05,0.86,0.337593675,301.97,0.337593459,0.968926797,600.02,9,2376551,3,0
MT,county,avepp,scf,2,539402,544823,56,138,52,0.03,0.9,0.339985544,506.23,0.339985545,1,600.01,9,1302088,0,0
MT,county,avepp,shir,2,539402,544823,56,138,52,0.03,0.88,0.339985554,765.03,0.339985544,0.933829542,600.07,9,293979,0,0
MS,county,avepp,lcut,4,736619,744021,82,202,69,60.02,5.78,0.310071195,780.28,0.310071108,0.991046068,600.05,9,705326,2,0
MS,county,avepp,scf,4,736619,744021,82,202,69,60.01,5.74,0.314768212,540.33,0.314768202,1,600.03,9,39187,0,0
MS,county,avepp,shir,4,736619,744021,82,202,69,60.02,5.85,0.320945028,720.57,0.320944908,1,600.11,9,289483,0,0
ME,county,avepp,lcut,2,677774,684585,16,34,13,0.02,0.06,0.34999199,0.28,0.34999199,0.34999199,0.14,2,877,4,0
ME,county,avepp,scf,2,677774,684585,16,34,13,0.01,0.06,0.349991978,1.71,0.349991978,0.349991978,0.09,2,289,0,0
ME,county,avepp,shir,2,677774,684585,16,34,13,0.01,0.07,0.349992093,0.86,0.349991978,0.349991978,0.18,2,284,0,0
KS,county,avepp,lcut,4,730798,738142,105,263,95,5.62,25.03,0.43812191,900.47,0.438121709,0.998612792,600.04,9,515311,2,0
KS,county,avepp,scf,4,730798,738142,105,263,95,5.52,25.43,0.439892532,720.53,0.439892526,1,600.04,9,160768,0,0
KS,county,avepp,shir,4,730798,738142,105,263,95,5.67,25.37,0.439892551,660.52,0.439892526,1,600.15,9,70393,0,0
IA,county,avepp,lcut,4,793605,801580,99,222,85,60.01,8.26,0.461442209,780.31,0.461442057,0.986437682,600.05,9,87147,2,0
IA,county,avepp,scf,4,793605,801580,99,222,85,60.02,8.46,0.486642344,1020.69,0.486642207,1,600.03,9,45254,0,0
IA,county,avepp,shir,4,793605,801580,99,222,85,60.02,8.29,0.461442137,600.44,0.461442057,1,600.08,9,67768,0,0
ID,county,avepp,lcut,2,914956,924150,44,102,41,0.02,0.5,0.294130654,180.26,0.311185908,0.634542777,600.01,9,3597286,6,0
ID,county,avepp,scf,2,914956,924150,44,102,41,0.02,0.51,0.294130534,130.28,0.311185908,0.810180064,600.01,9,1803700,0,0
ID,county,avepp,shir,2,914956,924150,44,102,41,0.02,0.51,0.294130494,316.83,0.31265895,0.319188119,600.01,9,1217061,0,0
AR,county,avepp,lcut,4,749117,756645,75,192,64,8.73,11.46,0.304812286,360.14,0.329483926,0.995169137,600.02,9,122644,3,0
AR,county,avepp,scf,4,749117,756645,75,192,64,9.44,11.4,0.304812178,420.23,0.304812178,1,600.02,9,31063,0,0
AR,county,avepp,shir,4,749117,756645,75,192,64,8.94,11.51,0.318174832,840.5,0.318174742,1,600.09,9,215721,0,0
AL,county,avepp,lcut,7,714166,721342,67,171,52,60.03,35.45,0.221873605,840.64,0.221873584,0.880116237,600.11,9,632134,3,1
AL,county,avepp,scf,7,714166,721342,67,171,52,60,35.81,0.220545462,240.14,0.220545461,0.883686658,600.03,9,10273,0,0
AL,county,avepp,shir,7,714166,721342,67,171,52,60.01,35.18,0.257938889,780.42,0.257938847,0.884128441,600.03,9,20969,0,0
MT,tract,avepp,lcut,2,539402,544823,319,840,311,2.04,0.03,0.427196985,675.37,0.427196622,0.997478573,600.07,9,146472,7,9
ME,tract,avepp,lcut,2,677774,684585,407,1139,398,2.29,0.03,0.404482788,249.77,0.404482682,0.991857428,600.02,9,112863,2,0
NH,tract,avepp,lcut,2,685321,692208,350,939,338,5.62,0.01,0.376832916,554.46,0.417284804,0.992948491,600.09,9,134330,8,0
WV,tract,avepp,lcut,2,892374,901342,546,1430,536,7.85,0.01,0.242035964,154.14,0.242035905,0.996268671,600.04,9,88895,10,29
ID,tract,avepp,lcut,2,914956,924150,456,1196,450,2.16,0.01,0.337102848,393.72,0.337102589,0.992083,600.1,9,110283,2,0
NE,tract,avepp,lcut,3,650566,657103,553,1420,534,60.01,0.11,0.462843504,744.77,0.462843318,1,600.04,9,15413,2,0
NM,tract,avepp,lcut,3,702312,709369,612,1631,597,60.01,0.1,0.490500693,1801.18,0.490500579,1,600.02,9,7104,4,9
