state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
RI,county,avepp,lcut,2,545947,551432,5,7,4,0.00,0.00,n/a,n/a,no_solution_found,-1e+40,0.00,3,0,0,0
WV,county,avepp,lcut,2,892374,901342,55,125,50,0.00,0.00,0.14626662636919358,360.00,0.07191070531727789,0.07191070531727789,600.00,9,280343,0,0
WV,county,avepp,scf,2,892374,901342,55,125,50,0.00,0.00,-1e+40,360.00,0.062213405398659355,0.062213405398659355,600.00,9,500038,0,0
WV,county,avepp,shir,2,892374,901342,55,125,50,0.00,0.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,424249,0,0
NM,county,avepp,lcut,3,702312,709369,33,78,28,0.00,0.00,0.999999971716726,62.00,0.15551865370183543,0.15551865370183543,600.00,9,268017,0,0
NM,county,avepp,scf,3,702312,709369,33,78,28,0.00,0.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,478158,0,0
NM,county,avepp,shir,3,702312,709369,33,78,28,0.00,0.00,-1e+40,360.00,0.15010154489582153,0.15010154489582153,600.00,9,427873,0,0
NE,county,avepp,scf,3,650566,657103,93,231,87,1.00,26.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,121421,0,0
NE,county,avepp,shir,3,650566,657103,93,231,87,1.00,25.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,116368,0,0
MT,county,avepp,lcut,2,539402,544823,56,138,52,0.00,2.00,0.9999999994599241,0.00,0.9999999998048206,0.9999999998048206,600.00,9,299686,0,0
MT,county,avepp,scf,2,539402,544823,56,138,52,0.00,2.00,-1e+40,360.00,0.18239007304811122,0.18239007304811122,600.00,9,498079,0,0
MT,county,avepp,shir,2,539402,544823,56,138,52,0.00,2.00,0.3223702898600001,540.00,0.04719246420872551,0.04719246420872551,600.00,9,361555,0,0
MS,county,avepp,scf,4,736619,744021,82,202,69,9.00,23.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,81523,0,0
MS,county,avepp,shir,4,736619,744021,82,202,69,13.00,22.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,61038,0,0
ME,county,avepp,lcut,2,677774,684585,16,34,13,0.00,0.00,0.9999999797783543,0.00,0.9999999999615399,0.9999999999615399,357.00,2,172363,0,0
ME,county,avepp,scf,2,677774,684585,16,34,13,0.00,0.00,0.2942222313225367,360.00,0.34999197745859206,0.34999197745859206,600.00,9,1362175,0,0
ME,county,avepp,shir,2,677774,684585,16,34,13,0.00,0.00,0.34999069332677707,540.00,0.3475009486116172,0.3475009486116172,600.00,9,1278532,0,0
KS,county,avepp,scf,4,730798,738142,105,263,95,7.00,61.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,103918,0,0
KS,county,avepp,shir,4,730798,738142,105,263,95,7.00,61.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,77896,0,0
IA,county,avepp,lcut,4,793605,801580,99,222,85,33.00,26.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,59929,0,0
IA,county,avepp,scf,4,793605,801580,99,222,85,23.00,27.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,63308,0,0
IA,county,avepp,shir,4,793605,801580,99,222,85,28.00,27.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,41507,0,0
ID,county,avepp,lcut,2,914956,924150,44,102,41,0.00,1.00,-1e+40,360.00,0.9999999999110756,0.9999999999110756,600.00,9,361866,0,0
ID,county,avepp,scf,2,914956,924150,44,102,41,0.00,1.00,-1e+40,360.00,0.27735615367080835,0.27735615367080835,600.00,9,390920,0,0
ID,county,avepp,shir,2,914956,924150,44,102,41,0.00,1.00,-1e+40,540.00,0.19660865444940107,0.19660865444940107,600.00,9,552840,0,0
AR,county,avepp,lcut,4,749117,756645,75,192,64,4.00,53.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,78503,0,0
AR,county,avepp,scf,4,749117,756645,75,192,64,6.00,42.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,82005,0,0
AR,county,avepp,shir,4,749117,756645,75,192,64,6.00,38.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,74474,0,0
AL,county,avepp,scf,7,714166,721342,67,171,52,47.00,63.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,39642,0,0
AL,county,avepp,shir,7,714166,721342,67,171,52,52.00,60.00,-1e+40,360.00,no_solution_found,-1e+40,600.00,4,29807,0,0
