state,level,objective,contiguity,k,L,U,n,m,B_size,B_time,hess_time,ls_obj,ls_time,MIP_obj,MIP_bound,MIP_time,MIP_status,MIP_nodes,callbacks,lazy_cuts
AR,county,invpp,shir,4,749117,756645,75,192,64,8.91,12.06,3.317646818,14.56,3.317646817,3.317646817,115.91,2,11457,0,0
AR,county,aveppbe,shir,4,749117,756645,75,192,64,8.54,11.1,0.318175894,255.22,0.318174362,0.412939769,3600.04,9,82932,0,0
AR,county,schwartzb,shir,4,749117,756645,75,192,64,8.38,11.25,1.80157889,569.95,1.801580268,1.801580268,3413.35,2,157944,0,0
ID,county,invpp,shir,2,914956,924150,44,102,41,0.02,0.49,3.600074704,0.19,3.496604048,3.496604048,0.35,2,87,0,0
ID,county,aveppbe,shir,2,914956,924150,44,102,41,0.02,0.48,0.294130325,1.24,0.312654018,0.312654018,1.32,2,1626,0,0
ID,county,schwartzb,shir,2,914956,924150,44,102,41,0.02,0.47,1.883961118,1.98,1.85842843,1.85842843,1.04,2,1869,0,0
IA,county,invpp,shir,4,793605,801580,99,222,85,60.02,8.41,2.172544791,13.6,2.172544791,2.172544791,164.72,2,11457,0,0
IA,county,aveppbe,shir,4,793605,801580,99,222,85,60.01,7.96,0.486648857,396.93,0.48664165,0.736624285,3600.05,9,74657,0,0
IA,county,schwartzb,shir,4,793605,801580,99,222,85,60.02,7.85,1.463730199,275.95,1.463730381,1.379312564,3600.04,9,131211,0,0
KS,county,invpp,shir,4,730798,738142,105,263,95,6.48,27.41,2.401246868,64.45,2.390296551,2.390296551,598.12,2,46684,0,0
KS,county,aveppbe,shir,4,730798,738142,105,263,95,6.14,27.28,0.449296192,452.73,0.452564955,0.72837731,3600.13,9,86673,0,0
KS,county,schwartzb,shir,4,730798,738142,105,263,95,5.18,23.36,1.569116288,268.89,1.569117413,1.307708537,3600.05,9,86946,0,0
ME,county,invpp,shir,2,677774,684585,16,34,13,0.01,0.07,2.897917221,0.04,2.89791722,2.89791722,0.09,2,1,0,0
ME,county,aveppbe,shir,2,677774,684585,16,34,13,0.01,0.07,0.349991798,0.3,0.349991798,0.349991798,0.39,2,753,0,0
ME,county,schwartzb,shir,2,677774,684585,16,34,13,0.01,0.07,1.699327286,0.77,1.699327273,1.699327273,0.47,2,1961,0,0
MS,county,invpp,shir,4,736619,744021,82,202,69,60.02,6.62,3.47464571,34.48,3.384737973,3.384737973,278,2,21875,0,0
MS,county,aveppbe,shir,4,736619,744021,82,202,69,60.02,6.54,0.333741744,378.48,0.333740711,0.466902619,3600.07,9,74837,0,0
MS,county,schwartzb,shir,4,736619,744021,82,202,69,60.01,5.47,1.83608927,805.44,1.836089389,1.612100982,3600.04,9,111914,0,0
MT,county,invpp,shir,2,539402,544823,56,138,52,0.03,0.86,2.948168712,0.98,2.948168713,2.948168713,0.53,2,1,0,0
MT,county,aveppbe,shir,2,539402,544823,56,138,52,0.03,0.84,0.337593079,5.99,0.339984417,0.339984417,2.16,2,1259,0,0
MT,county,schwartzb,shir,2,539402,544823,56,138,52,0.03,0.85,1.716524213,5.01,1.716526532,1.716526532,1.18,2,394,0,0
NE,county,invpp,shir,3,650566,657103,93,231,87,0.74,4.57,2.440013226,3.52,2.440013345,2.440013345,9.58,2,1533,0,0
NE,county,aveppbe,shir,3,650566,657103,93,231,87,0.76,4.62,0.412780444,16.49,0.412780126,0.412780126,1075.35,2,87320,0,0
NE,county,schwartzb,shir,3,650566,657103,93,231,87,0.77,4.67,1.560638643,23.78,1.560638814,1.560638814,163.83,2,13108,0,0
NM,county,invpp,shir,3,702312,709369,33,78,28,0.1,0.69,2.426776643,1.3,2.42677664,2.42677664,0.37,2,32,0,0
NM,county,aveppbe,shir,3,702312,709369,33,78,28,0.1,0.72,0.413469179,15.6,0.413467407,0.413467407,4.11,2,4604,0,0
NM,county,schwartzb,shir,3,702312,709369,33,78,28,0.1,0.66,1.557140311,9.43,1.557140604,1.557140604,0.94,2,734,0,0
WV,county,invpp,shir,2,892374,901342,55,125,50,0.05,0.92,5.011144869,0.48,5.011144866,5.011144866,0.39,2,93,0,0
WV,county,aveppbe,shir,2,892374,901342,55,125,50,0.05,0.9,0.236015797,6.13,0.236015797,0.236015797,6.88,2,2529,0,0
WV,county,schwartzb,shir,2,892374,901342,55,125,50,0.05,0.91,2.226428744,6.84,2.226431198,2.226431198,1.24,2,682,0,0
